packing
抄
抄**
25kg
21kg
10kg
18kg
20kg
10kg*
20kg*
15kg*
12kg
22kg
16kg
15kg
"抄 **"
"抄
抄"
18kg*
18kg**
25kg*
NULL
16kg*
12kg*
30lb
21kg*
22kg*
13kg
24kg
22.5kg
22.5kg*
30kg
"15kg
抄"
41
13kg*
9kg
14kg*
9kg*
