,重量,貨名,單價,單位,倉位,date,Origin,brand,name,grade,category
2204,抄,美 ibp 肥牛肉 karubi choice,$ 3 8.0,磅,其士,25-sep-23.pdf,美,ibp,肥牛肉 karubi choice,,Beef
2205,抄,美 i. b. p. 橫隔肌 cab,$ 5 0.0,磅,其士,25-sep-23.pdf,美,ibp,橫隔肌,,Beef
2206,抄,美 i. b. p. 橫隔肌 choice,$ 4 8.0,磅,其士,25-sep-23.pdf,美,ibp,橫隔肌,,Beef
2207,抄,美 i. b. p. 橫隔肌 nr,$ 3 9.0,磅,其士,25-sep-23.pdf,美,ibp,橫隔肌,,Beef
2208,抄,荷 tboer 白牛仔柳,$ 100.0,磅,其士,25-sep-23.pdf,荷,tboer,白牛仔柳,,Beef
2209,抄,美 smithfield 豬肋排 st. louis style 零售裝,$ 2 5.0,磅,其士,25-sep-23.pdf,美,smithfield,豬肋排,零售,Pork
2210,抄,巴 alegra 豬四肉,$ 9 .2,磅,其士,25-sep-23.pdf,巴,alegra,豬四肉,,Pork
2211,抄,巴 palmali 豬四肉,$ 9 .2,磅,其士,25-sep-23.pdf,巴,palmali,豬四肉,,Pork
2212,抄,西 artigas duroc 豬下梅肉,$ 3 5.0,磅,其士,25-sep-23.pdf,西,artigas duroc,豬下梅肉,,Pork
2213,抄,西 artigas duroc 豬扒法式,$ 4 2.0,磅,其士,25-sep-23.pdf,西,artigas duroc,豬扒,,Pork
2214,抄,西 pernam ibericos 豬背骨,$ 6 5.0,kg,其士,25-sep-23.pdf,西,pernam ibericos,豬背骨,,Pork
2215,抄,西 jamondul ibericos 豬梅肉,$ 198.0,kg,其士,25-sep-23.pdf,西,jamondul ibericos,豬梅肉,,Pork
2216,抄,西 jamondul ibericos 豬下梅肉,$ 140.0,kg,其士,25-sep-23.pdf,西,jamondul ibericos,豬下梅肉,,Pork
2217,抄,西 jamondul ibericos 豬扒法式,$ 190.0,kg,其士,25-sep-23.pdf,西,jamondul ibericos,豬扒,,Pork
2218,抄,西 jamondul ibericos 豬肋條,$ 135.0,kg,其士,25-sep-23.pdf,西,jamondul ibericos,豬肋條,,Pork
2219,20kg,波 豬後筒骨 pl30251102,$ 2 .4,磅,其士,25-sep-23.pdf,波,,後筒骨,,Pork
2220,20kg,波 豬前筒骨 pl30251102,$ 2 .4,磅,其士,25-sep-23.pdf,波,,豬前筒骨,,Pork
2221,10kg,挪 威 豬軟骨 p-no 109,$ 1 0.5,磅,其士,25-sep-23.pdf,挪 威,p109,豬軟骨,,Pork
2222,抄,巴 dom glutao 牛頸骨,$ 5 .2,磅,其士,27-march-23.pdf,巴,dom glutao,頸骨,,Pork
2223,抄,巴 dom glutao 牛前筒骨,$ 5 .2,磅,其士,27-march-23.pdf,巴,dom glutao,牛前筒骨,,Beef
2224,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,27-march-23.pdf,英 國,hewitt,牛坑腩,,Beef
2225,抄,巴 mataboi 牛坑腩 80vl,$ 1 4.5,磅,其士,27-march-23.pdf,巴,boi brasil,牛坑腩,,Beef
2226,抄,加 excel 牛下肩肉眼卷(1x1) prime p-93,$ 3 9.0,磅,其士,27-march-23.pdf,加,excel,牛下肩肉眼卷,1x1,Beef
2227,抄,美 i. b. p 牛下肩肉眼卷(1x1) cab,$ 3 9.0,磅,其士,27-march-23.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
2228,抄,美 excel 牛下肩肉眼卷(1x1) cab,$ 3 8.5,磅,其士,27-march-23.pdf,美,excel,牛下肩肉眼卷,1x1,Beef
2229,抄,美 excel 肩 胛 翼 prime,$ 7 8.0,磅,其士,27-march-23.pdf,美,excel,肩 胛 翼 prime,,
2230,抄,美 excel 肩 胛 翼 cab,$ 5 8.0,磅,其士,27-march-23.pdf,美,excel,肩 胛 翼 cab,,
2231,10kg,阿 bustos 牛頭肉,$ 8 .0,磅,其士,27-march-23.pdf,阿,bustos,牛頭肉,,Beef
2232,15kg,阿 forres 牛頭肉,$ 8 .0,磅,其士,27-march-23.pdf,阿,forres,牛頭肉,,Beef
2233,10kg,阿 ifssa 牛頭肉,$ 8 .0,磅,其士,27-march-23.pdf,阿,ifssa,牛頭肉,,Beef
2234,12kg,阿 ifssa 牛面肉,$ 1 1.0,磅,其士,27-march-23.pdf,阿,ifssa,牛面肉,,Beef
2235,抄,巴 minerva 牛細腩包 p-2911/451/791,$ 2 1.0,磅,其士,27-march-23.pdf,巴,minerva,牛細腩包,,Beef
2236,抄**,巴 plena 牛細腩包,,磅,其士,27-march-23.pdf,巴,plena,牛細腩包,,Beef
2237,抄,巴 masterboi 牛細腩包,$ 2 0.0,磅,其士,27-march-23.pdf,巴,boi brasil,牛細腩包,,Beef
2238,抄,澳 midfield 牛冧,$ 2 8.0,磅,其士,27-march-23.pdf,澳,midfield,牛冧,,Beef
2239,抄,紐 affco 牛冧,$ 2 8.0,磅,其士,27-march-23.pdf,紐,affco,牛冧,,Beef
2240,抄,巴 gejota 鯉魚管,$ 2 1.5,磅,其士,27-march-23.pdf,巴,gejota,鯉魚管,,Beef
2241,抄,阿 conallison 牛肋腩條,$ 1 7.5,磅,其士,27-march-23.pdf,阿,conallison,牛肋腩條,,Beef
2242,抄,美 i. b. p 牛肩肋條 (chuck finger)(無label),$ 3 7.5,磅,其士,27-march-23.pdf,美,ibp,牛肩肋條 (chuck finger)(無label),,Beef
2243,抄,美 i. b. p. 牛板腱 prime,$ 5 4.0,磅,其士,27-march-23.pdf,美,ibp,牛板腱,,Beef
2244,抄,加 excel 牛板腱 prime p-93,$ 4 8.5,磅,其士,27-march-23.pdf,加,excel,牛板腱,,Beef
2245,抄,美 i. b. p. 牛板腱 cab,$ 5 0.0,磅,其士,27-march-23.pdf,美,ibp,牛板腱,,Beef
2246,抄**,加 excel 牛板腱 aaa p-93,$ 3 9.0,磅,其士,27-march-23.pdf,加,excel,牛板腱,,Beef
2247,抄,阿 conallison (s) 牛t骨,$ 3 3.0,磅,其士,27-march-23.pdf,阿,conallison,(s) 牛t骨,,Beef
2248,抄,德 牛仔骨 3 支骨 3/4/5,$ 1 5.5,磅,其士,27-march-23.pdf,德,,牛仔骨,3/4,Beef
2249,抄,英 牛仔骨 3 支骨 6/7/8 5106/8046/1598/1541/1958,$ 1 8.0,磅,其士,27-march-23.pdf,英,,牛仔骨,,Beef
2250,抄,英 kepak 牛仔骨 3 支骨 6/7/8 7176/8073/1106,$ 2 1.5,磅,其士,27-march-23.pdf,英,kepak,牛仔骨,,Beef
2251,抄,加 excel 牛仔骨 4 支骨 aaa p-93,$ 2 8.0,磅,其士,27-march-23.pdf,加,excel,牛仔骨,,Beef
2252,抄,加 excel 牛仔骨 3 支骨 prime p-93,$ 6 2.0,磅,其士,27-march-23.pdf,加,excel,牛仔骨,,Beef
2253,抄,美 national 牛仔骨 3 支骨 prime,$ 6 2.0,磅,其士,27-march-23.pdf,美,national beef,牛仔骨,,Beef
2254,抄,美 i. b. p. 牛仔骨 3 支骨 choice p-278/245e,$ 4 8.0,磅,其士,27-march-23.pdf,美,ibp,牛仔骨,,Beef
2255,抄,美 showcase 牛仔骨 3 支骨 select,$ 3 0.0,磅,其士,27-march-23.pdf,美,showcase,牛仔骨,,Beef
2256,抄,美 i. b. p. 肥牛肉肩胛 prime p-245l,$ 8 2.0,磅,其士,27-march-23.pdf,美,ibp,肩胛,,Beef
2257,抄,美 i. b. p. 肥牛肉肩胛 prime p-278,$ 8 2.0,磅,其士,27-march-23.pdf,美,ibp,肩胛,,Beef
2258,抄**,美 i. b. p. 肥牛肉肩胛 cab p-245l,$ 5 2.0,磅,其士,27-march-23.pdf,美,ibp,肩胛,,Beef
2259,抄,美 i. b. p. 肥牛肉肩胛 cab p-245e,$ 5 2.0,磅,其士,27-march-23.pdf,美,ibp,肩胛,,Beef
2260,抄,美 i. b. p. 肥牛肉肩胛 cab p-278,$ 5 2.0,磅,其士,27-march-23.pdf,美,ibp,肩胛,,Beef
2261,抄,美 i. b. p. 肥牛肉肩胛 nr,$ 4 7.0,磅,其士,27-march-23.pdf,美,ibp,肩胛,,Beef
2262,抄,加 canadian diamond 去骨牛小排 cab p-38,$ 104.0,磅,其士,27-march-23.pdf,加,canadian diamond,去骨牛小排,,Beef
2263,抄,巴 alegra 分包 豬肋排,$ 1 2.0,磅,其士,27-march-23.pdf,巴,alegra,豬肋排,分包,Pork
2264,22kg,巴 palmali 餅裝 豬肋排,$ 8 .4,磅,其士,27-march-23.pdf,巴,palmali,豬肋排,餅裝,Pork
2265,抄,美 smithfield 豬肋排 st. louis style,$ 3 3.0,磅,其士,27-march-23.pdf,美,smithfield,豬肋排,,Pork
2266,25kg*,巴 aurora 豬四肉,$ 1 2.5,磅,其士,27-march-23.pdf,巴,aurora,豬四肉,,Pork
2267,抄,巴 palmali 豬四肉,$ 1 2.5,磅,其士,27-march-23.pdf,巴,palmali,豬四肉,,Pork
2268,抄,西 artigas duroc 豬梅肉,$ 3 2.0,磅,其士,27-march-23.pdf,西,artigas duroc,豬梅肉,,Pork
2269,抄,西 artigas duroc 豬下梅肉,$ 3 0.0,磅,其士,27-march-23.pdf,西,artigas duroc,豬下梅肉,,Pork
2270,抄,西 artigas duroc 豬扒法式,$ 4 1.0,磅,其士,27-march-23.pdf,西,artigas duroc,豬扒,,Pork
2271,抄,西 artigas duroc 豬肋條,$ 3 8.0,磅,其士,27-march-23.pdf,西,artigas duroc,豬肋條,,Pork
2272,抄,西 artigas duroc 豬腩無皮挑骨,$ 2 9.0,磅,其士,27-march-23.pdf,西,artigas duroc,豬腩無皮挑骨,挑骨,Pork
2273,抄,西 pernam ibericos 豬腩 (去皮),$ 7 0.0,kg,其士,27-march-23.pdf,西,pernam ibericos,豬腩 (去皮),,Pork
2274,抄,西 pernam ibericos 豬背骨,$ 6 5.0,kg,其士,27-march-23.pdf,西,pernam ibericos,豬背骨,,Pork
2275,抄,西 jamondul ibericos 豬梅肉,$ 198.0,kg,其士,27-march-23.pdf,西,jamondul ibericos,豬梅肉,,Pork
2276,抄,西 jamondul ibericos 豬下梅肉,$ 130.0,kg,其士,27-march-23.pdf,西,jamondul ibericos,豬下梅肉,,Pork
2277,抄,西 jamondul ibericos 豬肋條,$ 125.0,kg,其士,27-march-23.pdf,西,jamondul ibericos,豬肋條,,Pork
2278,20kg,巴 alegra 豬大腸,$ 6 .5,磅,其士,27-march-23.pdf,巴,alegra,豬大腸,,Pork
2279,10kg,巴 aurora 豬大腸,$ 8 .3,磅,其士,27-march-23.pdf,巴,aurora,豬大腸,,Pork
2280,18kg,巴 seara 豬大腸,$ 7 .0,磅,其士,27-march-23.pdf,巴,seara,豬大腸,,Pork
2281,16kg,巴 frimesa 豬大腸,$ 8 .8,磅,其士,27-march-23.pdf,巴,frimesa,豬大腸,,Pork
2282,10kg,挪 威 豬 手 (短),$ 1 .4,磅,其士,27-march-23.pdf,挪 威,,挪 威 豬 手 (短),短,Pork
2283,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,3-oct-23.pdf,英 國,hewitt,牛坑腩,,Beef
2284,抄,美 i. b. p 牛下肩肉眼卷(1x1) prime,$ 4 3.5,磅,其士,3-oct-23.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
2285,抄,加 excel 牛下肩肉眼卷(1x1) prime p-93,$ 4 2.5,磅,其士,3-oct-23.pdf,加,excel,牛下肩肉眼卷,1x1,Beef
2286,25kg,巴 pantanal 牛頭肉,$ 8 .5,磅,其士,3-oct-23.pdf,巴,pantanal,牛頭肉,,Beef
2287,抄,巴 minerva 牛細腩包 p-451/791,$ 1 4.8,磅,其士,3-oct-23.pdf,巴,minerva,牛細腩包,,Beef
2288,抄,巴 plena 牛細腩包,$ 1 4.8,磅,其士,3-oct-23.pdf,巴,plena,牛細腩包,,Beef
2289,抄,巴 dom glutao 牛冧,$ 1 9.0,磅,其士,3-oct-23.pdf,巴,dom glutao,牛冧,,Beef
2290,抄**,巴 masterboi 牛冧,$ 1 9.0,磅,其士,3-oct-23.pdf,巴,boi brasil,牛冧,,Beef
2291,抄,巴 pantanal 牛冧,$ 1 9.0,磅,其士,3-oct-23.pdf,巴,pantanal,牛冧,,Beef
2292,抄,美 i. b. p. 牛肩肋條(有label),$ 4 3.0,磅,其士,3-oct-23.pdf,美,ibp,牛肩肋條(有label),,Beef
2293,抄,美 national 牛肋條,$ 4 2.0,磅,其士,3-oct-23.pdf,美,national beef,牛肋條,,Beef
2294,抄,加 canadian diamond 金 錢 𦟌 p-38,$ 3 3.5,磅,其士,3-oct-23.pdf,加,canadian diamond,金 錢 𦟌 p-38,,
2295,抄,美 i. b. p 金 錢 𦟌 choice (有label),$ 3 6.5,磅,其士,3-oct-23.pdf,美,ibp,金 錢 𦟌 choice (有label),,
2296,抄,美 i. b. p 金 錢 𦟌 nr (有label),$ 3 6.5,磅,其士,3-oct-23.pdf,美,ibp,金 錢 𦟌 nr (有label),,
2297,抄,巴 mataboi 牛 前 𦟌,$ 1 2.0,磅,其士,3-oct-23.pdf,巴,boi brasil,牛 前 𦟌,,Beef
2298,抄,美 i. b. p. 肥牛肉肩胛 cab prime p-245c,$ 8 2.5,磅,其士,3-oct-23.pdf,美,ibp,肩胛,,Beef
2299,抄,美 i. b. p. 肥牛肉肩胛 prime p-245e,$ 8 0.0,磅,其士,3-oct-23.pdf,美,ibp,肩胛,,Beef
2300,抄,美 i. b. p. 肥牛肉肩胛 cab p-278,$ 6 0.0,磅,其士,3-oct-23.pdf,美,ibp,肩胛,,Beef
2301,抄,美 excel 去骨牛小排 prime p-86e,$ 148.0,磅,其士,3-oct-23.pdf,美,excel,去骨牛小排,,Beef
2302,抄,美 national 去骨牛小排 prime,$ 158.0,磅,其士,3-oct-23.pdf,美,national beef,去骨牛小排,,Beef
2303,抄,美 national 去骨牛小排 cab,$ 130.0,磅,其士,3-oct-23.pdf,美,national beef,去骨牛小排,,Beef
2304,抄,美 excel 去骨牛小排 cab,$ 125.0,磅,其士,3-oct-23.pdf,美,excel,去骨牛小排,,Beef
2305,抄,美 excel 去骨牛小排 choice p-86e,$ 110.0,磅,其士,3-oct-23.pdf,美,excel,去骨牛小排,,Beef
2306,抄,美 excel 肥牛肉 pastrami prime 6x12,$ 4 4.0,磅,其士,3-oct-23.pdf,美,excel,肥牛肉 pastrami prime 6x12,,Beef
2307,抄,美 ibp 肥牛肉 pastrami prime 6x12,$ 4 9.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 pastrami prime 6x12,,Beef
2308,抄,美 ibp 肥牛肉 pastrami cab 6x12,$ 4 7.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 pastrami cab 6x12,,Beef
2309,抄,美 ibp 肥牛肉 pastrami choice 6x12,$ 4 6.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 pastrami choice 6x12,,Beef
2310,抄,美 excel 肥牛肉 pastrami prime 9x12 p-86m/r,$ 3 8.0,磅,其士,3-oct-23.pdf,美,excel,肥牛肉 pastrami prime 9x12 p-86m/r,9x12,Beef
2311,抄,加 excel 肥牛肉 pastrami a/aa 9x12 p-93,$ 3 4.0,磅,其士,3-oct-23.pdf,加,excel,肥牛肉 pastrami a/aa 9x12 p-93,9x12,Beef
2312,抄,墨 sukarne 肥牛肉 super obento plate,$ 2 0.5,磅,其士,3-oct-23.pdf,墨,sukarne,肥牛肉 super obento plate,,Beef
2313,抄,英國 肥牛肉 super upper plate,$ 2 2.5,磅,其士,3-oct-23.pdf,英,pif paf,er plate,,
2314,抄,美 ibp 肥牛肉 karubi prime,$ 3 9.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 karubi prime,,Beef
2315,抄,美 ibp 肥牛肉 karubi cab,$ 3 9.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 karubi cab,,Beef
2316,抄,美 ibp 肥牛肉 karubi choice,$ 3 8.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 karubi choice,,Beef
2317,抄**,美 ibp 肥牛肉 no roll short plate,$ 2 1.0,磅,其士,3-oct-23.pdf,美,ibp,肥牛肉 no roll short plate,,Beef
2318,抄,美 i. b. p. 橫隔肌 cab,$ 5 0.0,磅,其士,3-oct-23.pdf,美,ibp,橫隔肌,,Beef
2319,抄,美 i. b. p. 橫隔肌 choice,$ 4 8.0,磅,其士,3-oct-23.pdf,美,ibp,橫隔肌,,Beef
2320,抄,美 i. b. p. 橫隔肌 nr,$ 3 9.0,磅,其士,3-oct-23.pdf,美,ibp,橫隔肌,,Beef
2321,抄,荷 tboer 白牛仔柳,$ 100.0,磅,其士,3-oct-23.pdf,荷,tboer,白牛仔柳,,Beef
2322,抄,美 smithfield 豬肋排 st. louis style 零售裝,$ 2 5.0,磅,其士,3-oct-23.pdf,美,smithfield,豬肋排,零售,Pork
2323,抄,巴 alegra 豬四肉,$ 9 .2,磅,其士,3-oct-23.pdf,巴,alegra,豬四肉,,Pork
2324,抄,巴 palmali 豬四肉,$ 9 .2,磅,其士,3-oct-23.pdf,巴,palmali,豬四肉,,Pork
2325,抄,西 artigas duroc 豬下梅肉,$ 3 5.0,磅,其士,3-oct-23.pdf,西,artigas duroc,豬下梅肉,,Pork
2326,抄,西 artigas duroc 豬扒法式,$ 4 2.0,磅,其士,3-oct-23.pdf,西,artigas duroc,豬扒,,Pork
2327,抄,西 pernam ibericos 豬背骨,$ 6 5.0,kg,其士,3-oct-23.pdf,西,pernam ibericos,豬背骨,,Pork
2328,抄,西 jamondul ibericos 豬梅肉,$ 198.0,kg,其士,3-oct-23.pdf,西,jamondul ibericos,豬梅肉,,Pork
2329,抄,西 jamondul ibericos 豬下梅肉,$ 140.0,kg,其士,3-oct-23.pdf,西,jamondul ibericos,豬下梅肉,,Pork
2330,抄,西 jamondul ibericos 豬扒法式,$ 190.0,kg,其士,3-oct-23.pdf,西,jamondul ibericos,豬扒,,Pork
2331,抄,西 jamondul ibericos 豬肋條,$ 135.0,kg,其士,3-oct-23.pdf,西,jamondul ibericos,豬肋條,,Pork
2332,20kg,波 豬後筒骨 pl30251102,$ 2 .4,磅,其士,3-oct-23.pdf,波,,後筒骨,,Pork
2333,20kg,波 豬前筒骨 pl30251102,$ 2 .4,磅,其士,3-oct-23.pdf,波,,豬前筒骨,,Pork
2334,10kg,挪 威 豬軟骨 p-no 109,$ 1 0.5,磅,其士,3-oct-23.pdf,挪 威,p109,豬軟骨,,Pork
2335,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,2-jan-24.pdf,英 國,hewitt,牛坑腩,,Beef
2336,抄,美 ibp 牛下肩肉眼卷(1x1) prime,$ 4 4.0,磅,其士,2-jan-24.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
2337,抄,美 ibp 牛下肩肉眼卷(1x1) cab,$ 4 3.5,磅,其士,2-jan-24.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
2338,25kg,巴 pantanal 牛頭肉,$ 8 .0,磅,其士,2-jan-24.pdf,巴,pantanal,牛頭肉,,Beef
2339,抄,巴 pul 牛細腩包,$ 1 5.0,磅,其士,2-jan-24.pdf,巴,pul,牛細腩包,,Beef
2340,抄,巴 plena 牛細腩包,$ 1 3.5,磅,其士,2-jan-24.pdf,巴,plena,牛細腩包,,Beef
2341,抄**,巴 dom glutao 牛冧,$ 1 9.6,磅,其士,2-jan-24.pdf,巴,dom glutao,牛冧,,Beef
2342,抄,巴 gejota 牛冧,$ 2 0.0,磅,其士,2-jan-24.pdf,巴,gejota,牛冧,,Beef
2343,抄,巴 gold beef 牛冧,$ 1 9.6,磅,其士,2-jan-24.pdf,巴,gold beef ,牛冧,,Beef
2344,抄**,澳 midfield 牛冧,$ 2 4.0,磅,其士,2-jan-24.pdf,澳,midfield,牛冧,,Beef
2345,抄**,巴 mondelli 鯉魚管,$ 2 0.5,磅,其士,2-jan-24.pdf,巴,mondelli,鯉魚管,,Beef
2346,抄,巴 pul 鯉魚管,$ 2 0.5,磅,其士,2-jan-24.pdf,巴,pul,鯉魚管,,Beef
2347,抄,巴 gejota 鯉魚管,$ 1 8.5,磅,其士,2-jan-24.pdf,巴,gejota,鯉魚管,,Beef
2348,抄,墨 sukarne 牛肋條,$ 2 1.5,磅,其士,2-jan-24.pdf,墨,sukarne,牛肋條,,Beef
2349,抄,巴 minerva 牛肋條,$ 2 6.5,磅,其士,2-jan-24.pdf,巴,minerva,牛肋條,,Beef
2350,抄,美 national 金 錢 𦟌,$ 3 4.0,磅,其士,2-jan-24.pdf,美,national beef,金 錢 𦟌,,
2351,抄,巴 gejota 牛柳頭 1k+,$ 2 3.5,磅,其士,2-jan-24.pdf,巴,gejota,牛柳頭,,Beef
2352,抄,巴 minerva 牛柳頭 1k+,$ 2 3.5,磅,其士,2-jan-24.pdf,巴,minerva,牛柳頭,,Beef
2353,抄,巴 boi brasil 牛柳頭 1-1.5k,$ 2 2.0,磅,其士,2-jan-24.pdf,巴,boi brasil,牛柳頭,,Beef
2354,抄,巴 masterboi 牛柳頭 1.5k+,$ 2 3.0,磅,其士,2-jan-24.pdf,巴,boi brasil,牛柳頭,,Beef
2355,抄,巴 quality beef 牛柳頭 1.5-2k,$ 2 3.0,磅,其士,2-jan-24.pdf,巴,quality beef,牛柳頭,,Beef
2356,抄,巴 plena 牛柳頭 2k+,$ 2 3.0,磅,其士,2-jan-24.pdf,巴,plena,牛柳頭,,Beef
2357,抄,巴 dom glutao 牛柳頭 2k+,$ 2 3.0,磅,其士,2-jan-24.pdf,巴,dom glutao,牛柳頭,,Beef
2358,抄,美 excel 去骨牛小排 prime p-86e,$ 139.0,磅,其士,2-jan-24.pdf,美,excel,去骨牛小排,,Beef
2359,抄,美 national 去骨牛小排 prime,$ 152.0,磅,其士,2-jan-24.pdf,美,national beef,去骨牛小排,,Beef
2360,抄,美 ibp 去骨牛小排 prime p-278,$ 154.0,磅,其士,2-jan-24.pdf,美,ibp,去骨牛小排,,Beef
2361,抄,美 ibp 去骨牛小排 prime p-245e,$ 154.0,磅,其士,2-jan-24.pdf,美,ibp,去骨牛小排,,Beef
2362,抄,美 ibp 去骨牛小排 choice p-278,$ 110.0,磅,其士,2-jan-24.pdf,美,ibp,去骨牛小排,,Beef
2363,抄,美 ibp 肥牛肉 pastrami cab prime 6x12,$ 5 1.0,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 pastrami cab prime 6x12,,Beef
2364,抄,美 ibp 肥牛肉 pastrami prime 6x12,$ 5 0.0,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 pastrami prime 6x12,,Beef
2365,抄,美 ibp 肥牛肉 pastrami cab 6x12,$ 4 9.0,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 pastrami cab 6x12,,Beef
2366,抄,美 national 肥牛肉 pastrami choice 6x12,$ 4 9.0,磅,其士,2-jan-24.pdf,美,national beef,肥牛肉 pastrami choice 6x12,,Beef
2367,抄,美 ibp 肥牛肉 pastrami choice 6x12,$ 4 6.0,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 pastrami choice 6x12,,Beef
2368,抄,美 excel 肥牛肉 pastrami prime 9x12 p-86m/r,$ 3 6.0,磅,其士,2-jan-24.pdf,美,excel,肥牛肉 pastrami prime 9x12 p-86m/r,9x12,Beef
2369,抄,加 excel 肥牛肉 pastrami aaa 9x12 p-93,$ 3 3.5,磅,其士,2-jan-24.pdf,加,excel,肥牛肉 pastrami aaa 9x12 p-93,9x12,Beef
2370,抄,加 excel 肥牛肉 pastrami a/aa 9x12 p-93,$ 3 2.5,磅,其士,2-jan-24.pdf,加,excel,肥牛肉 pastrami a/aa 9x12 p-93,9x12,Beef
2371,抄,愛 dawn meat 肥牛肉(super plate),$ 2 0.2,磅,其士,2-jan-24.pdf,愛,dawn meat,肥牛肉(super plate),,Beef
2372,抄,墨 sukarne 肥牛肉 super obento plate,$ 2 0.2,磅,其士,2-jan-24.pdf,墨,sukarne,肥牛肉 super obento plate,,Beef
2373,抄,英國 kepak 肥牛肉 super plate,$ 2 0.2,磅,其士,2-jan-24.pdf,英,kepak,肥牛肉 super plate,,Beef
2374,抄,英國 肥牛肉 upper plate,$ 2 0.2,磅,其士,2-jan-24.pdf,英,pif paf,er plate,,
2375,抄,美 ibp 肥牛肉 karubi cab prime,$ 3 9.5,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 karubi cab prime,,Beef
2376,抄,美 ibp 肥牛肉 karubi cab,$ 3 9.0,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 karubi cab,,Beef
2377,抄,美 ibp 肥牛肉 karubi choice,$ 3 8.0,磅,其士,2-jan-24.pdf,美,ibp,肥牛肉 karubi choice,,Beef
2378,抄,加 excel 肥牛肉 short plate p-93,$ 2 0.5,磅,其士,2-jan-24.pdf,加,excel,肥牛肉 short plate p-93,,Beef
2379,抄,美 excel 肥牛肉 no roll short plate,$ 2 0.0,磅,其士,2-jan-24.pdf,美,excel,肥牛肉 no roll short plate,,Beef
2380,抄,美 i. b. p. 橫隔肌 cab,$ 5 1.0,磅,其士,2-jan-24.pdf,美,ibp,橫隔肌,,Beef
2381,抄,美 i. b. p. 橫隔肌 choice,$ 4 5.0,磅,其士,2-jan-24.pdf,美,ibp,橫隔肌,,Beef
2382,抄,美 i. b. p. 橫隔肌 nr,$ 4 1.0,磅,其士,2-jan-24.pdf,美,ibp,橫隔肌,,Beef
2383,抄**,荷 tboer 牛仔湯骨,$ 9 .0,磅,其士,2-jan-24.pdf,荷,tboer,湯骨,,Pork
2384,抄**,荷 tboer 牛仔扒 (短切2 rib),$ 7 2.0,磅,其士,2-jan-24.pdf,荷,tboer,牛仔扒,短,Beef
2385,抄**,荷 tboer 牛仔膝,$ 4 6.0,磅,其士,2-jan-24.pdf,荷,tboer,牛仔膝,,Beef
2386,抄**,荷 tboer 牛仔膝 (穀飼),$ 3 7.0,磅,其士,2-jan-24.pdf,荷,tboer,牛仔膝 (穀飼),穀飼,Beef
2387,抄,紐 silver fern 牛仔脾 3/5 lb,$ 2 8.0,磅,其士,2-jan-24.pdf,紐,silver fern,牛仔脾 3/5 lb,3/5,Beef
2388,抄,紐 silver fern 牛仔脾 5+ lb,$ 2 8.0,磅,其士,2-jan-24.pdf,紐,silver fern,牛仔脾 5+ lb,,Beef
2389,20kg,巴 frimesa 豬肋排,$ 1 4.8,磅,其士,2-jan-24.pdf,巴,frimesa,豬肋排,,Pork
2390,10kg,巴 tonnies 餅裝 豬肋排,$ 1 2.0,磅,其士,2-jan-24.pdf,巴,tonnies,豬肋排,餅裝,Pork
2391,抄,巴 palmali 豬四肉,$ 8 .9,磅,其士,2-jan-24.pdf,巴,palmali,豬四肉,,Pork
2392,抄,巴 pamplona 豬四肉,$ 8 .9,磅,其士,2-jan-24.pdf,巴,pamplona,豬四肉,,Pork
2393,25kg*,巴 frimesa 豬四肉,$ 9 .2,磅,其士,2-jan-24.pdf,巴,frimesa,豬四肉,,Pork
2394,20kg,德 westfleisch 豬脊膘油,$ 6 .4,磅,其士,2-jan-24.pdf,德,westfleisch,豬脊膘油,,Pork
2395,抄,西 artigas duroc 豬扒法式,$ 3 8.0,磅,其士,2-jan-24.pdf,西,artigas duroc,豬扒,,Pork
2396,抄,西 pernam ibericos 豬背骨,$ 5 5.0,kg,其士,2-jan-24.pdf,西,pernam ibericos,豬背骨,,Pork
2397,抄,西 jamondul ibericos 豬梅肉,$ 165.0,kg,其士,2-jan-24.pdf,西,jamondul ibericos,豬梅肉,,Pork
2398,抄,西 jamondul ibericos 豬下梅肉,$ 120.0,kg,其士,2-jan-24.pdf,西,jamondul ibericos,豬下梅肉,,Pork
2399,抄,西 jamondul ibericos 豬扒法式,$ 165.0,kg,其士,2-jan-24.pdf,西,jamondul ibericos,豬扒,,Pork
