,重量,貨名,單價,單位,倉位,date,Origin,brand,name,grade,category
43,抄,美 i. b. p. 橫隔肌 nr,$ 3 9.0,磅,其士,30-oct-23.pdf,美,ibp,橫隔肌,,Beef
44,抄,荷 tboer 白牛仔柳,$ 100.0,磅,其士,30-oct-23.pdf,荷,tboer,白牛仔柳,,Beef
45,抄**,紐 silver fern 牛仔脾 3/5 lb,$ 2 8.0,磅,其士,30-oct-23.pdf,紐,silver fern,牛仔脾 3/5 lb,3/5,Beef
46,抄**,紐 silver fern 牛仔脾 5+ lb,$ 2 8.0,磅,其士,30-oct-23.pdf,紐,silver fern,牛仔脾 5+ lb,,Beef
47,抄,美 smithfield 豬肋排 st. louis style 零售裝,$ 2 5.0,磅,其士,30-oct-23.pdf,美,smithfield,豬肋排,零售,Pork
48,抄,巴 alegra 豬四肉,$ 8 .6,磅,其士,30-oct-23.pdf,巴,alegra,豬四肉,,Pork
49,25kg,巴 frimesa 豬四肉,$ 9 .0,磅,其士,30-oct-23.pdf,巴,frimesa,豬四肉,,Pork
50,抄,巴 palmali 豬四肉,$ 8 .6,磅,其士,30-oct-23.pdf,巴,palmali,豬四肉,,Pork
51,抄,西 artigas duroc 豬下梅肉,$ 3 5.0,磅,其士,30-oct-23.pdf,西,artigas duroc,豬下梅肉,,Pork
52,抄,西 artigas duroc 豬扒法式,$ 4 2.0,磅,其士,30-oct-23.pdf,西,artigas duroc,豬扒,,Pork
53,抄,西 pernam ibericos 豬背骨,$ 6 5.0,kg,其士,30-oct-23.pdf,西,pernam ibericos,豬背骨,,Pork
54,抄,西 jamondul ibericos 豬梅肉,$ 198.0,kg,其士,30-oct-23.pdf,西,jamondul ibericos,豬梅肉,,Pork
55,抄,西 jamondul ibericos 豬下梅肉,$ 140.0,kg,其士,30-oct-23.pdf,西,jamondul ibericos,豬下梅肉,,Pork
56,抄,西 jamondul ibericos 豬扒法式,$ 190.0,kg,其士,30-oct-23.pdf,西,jamondul ibericos,豬扒,,Pork
57,21kg,巴 dalia 豬大腸,$ 1 1.0,磅,其士,30-oct-23.pdf,巴,dalia,豬大腸,,Pork
58,10kg,巴 aurora 豬肚,$ 1 0.5,磅,其士,30-oct-23.pdf,巴,aurora,豬肚,,Pork
59,18kg,巴 frimesa 豬舌,$ 7 .0,磅,其士,30-oct-23.pdf,巴,frimesa,豬舌,,Pork
60,18kg,巴 seara 豬手,$ 4 .0,磅,其士,30-oct-23.pdf,巴,seara,豬手,,Pork
61,20kg,波 豬後筒骨 pl30251102,$ 2 .4,磅,其士,30-oct-23.pdf,波,,後筒骨,,Pork
62,20kg,波 豬前筒骨 pl30251102,$ 2 .4,磅,其士,30-oct-23.pdf,波,,豬前筒骨,,Pork
63,10kg*,德 tonnies 豬軟骨,$ 1 4.5,磅,其士,30-oct-23.pdf,德,tonnies,豬軟骨,,Pork
64,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,11-sep-23.pdf,英 國,hewitt,牛坑腩,,Beef
65,抄,巴 mataboi 牛坑腩 80vl p-3112,$ 1 3.3,磅,其士,11-sep-23.pdf,巴,boi brasil,牛坑腩,,Beef
66,抄,巴 plena 牛坑腩 80vl,$ 1 3.3,磅,其士,11-sep-23.pdf,巴,plena,牛坑腩,,Beef
67,抄,美 i. b. p 牛下肩肉眼卷(1x1) prime,$ 4 3.0,磅,其士,11-sep-23.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
68,抄,加 excel 牛下肩肉眼卷(1x1) prime p-93,$ 4 1.0,磅,其士,11-sep-23.pdf,加,excel,牛下肩肉眼卷,1x1,Beef
69,25kg,巴 pantanal 牛頭肉,$ 8 .5,磅,其士,11-sep-23.pdf,巴,pantanal,牛頭肉,,Beef
70,抄,巴 minerva 牛細腩包 p-451/791,$ 1 4.8,磅,其士,11-sep-23.pdf,巴,minerva,牛細腩包,,Beef
71,抄,巴 plena 牛細腩包,$ 1 4.8,磅,其士,11-sep-23.pdf,巴,plena,牛細腩包,,Beef
72,抄,巴 anglo 牛冧,$ 1 7.5,磅,其士,11-sep-23.pdf,巴,anglo,牛冧,,Beef
73,抄,巴 boi brasil 牛冧,$ 1 7.5,磅,其士,11-sep-23.pdf,巴,boi brasil,牛冧,,Beef
74,抄,紐 affco 牛冧,$ 2 6.5,磅,其士,11-sep-23.pdf,紐,affco,牛冧,,Beef
75,抄,美 i. b. p. 牛肩肋條(有label),$ 4 3.0,磅,其士,11-sep-23.pdf,美,ibp,牛肩肋條(有label),,Beef
76,抄,美 national 牛肋條,$ 4 1.0,磅,其士,11-sep-23.pdf,美,national beef,牛肋條,,Beef
77,抄,美 national 金 錢 𦟌,$ 3 3.5,磅,其士,11-sep-23.pdf,美,national beef,金 錢 𦟌,,
78,抄,美 i. b. p 金 錢 𦟌 choice (有label),$ 3 5.0,磅,其士,11-sep-23.pdf,美,ibp,金 錢 𦟌 choice (有label),,
79,抄,美 i. b. p 金 錢 𦟌 nr (有label),$ 3 5.0,磅,其士,11-sep-23.pdf,美,ibp,金 錢 𦟌 nr (有label),,
80,抄,巴 mataboi 牛 前 𦟌,$ 1 2.0,磅,其士,11-sep-23.pdf,巴,boi brasil,牛 前 𦟌,,Beef
81,抄,美 i. b. p. 肥牛肉肩胛 cab prime p-245c,$ 8 2.5,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
82,抄,美 i. b. p. 肥牛肉肩胛 prime p-278,$ 8 0.0,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
83,抄,美 i. b. p. 肥牛肉肩胛 prime p-245l,$ 8 0.0,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
84,抄,美 i. b. p. 肥牛肉肩胛 prime p-245e,$ 8 0.0,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
85,抄,美 i. b. p. 肥牛肉肩胛 cab p-245l,$ 5 9.0,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
86,抄,美 i. b. p. 肥牛肉肩胛 cab p-245e,$ 5 9.0,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
87,抄,美 i. b. p. 肥牛肉肩胛 cab p-278,$ 5 9.0,磅,其士,11-sep-23.pdf,美,ibp,肩胛,,Beef
88,抄,美 excel 去骨牛小排 prime p-86e,$ 143.0,磅,其士,11-sep-23.pdf,美,excel,去骨牛小排,,Beef
89,抄,美 national 去骨牛小排 prime,$ 148.0,磅,其士,11-sep-23.pdf,美,national beef,去骨牛小排,,Beef
