,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
51,A5特 和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,360.0,kg,裕林,
52,A5特 和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,,kg,裕林,
53,和牛三筋(板鍵),和牛三筋,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
54,和牛肉眼蓋,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
55,和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,700.0,kg,裕林,
56,和牛牛腩排,和牛牛腩,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
57,和牛牛胸,和牛牛胸,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
58,和牛牛仔骨,和牛牛仔骨,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
59,和牛三角肥牛,和牛三角,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
60,和牛上腦,和牛上腦,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
61,和牛牛冧,和牛牛冧,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
62,和牛針扒 (無針扒),和牛針扒,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
63,和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
64,和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
66,抄碼 245E廠 IBP PRIME 三角肥牛,肩胛肥牛肉,萬祥,BEEF,抄,美國,IBP,2024-01-22,245E廠,PRIME,,,,,76.0,lb,光1,
67,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,EXCEL,2024-01-22,86M廠,CAB,,,,,125.0,lb,裕林,
68,抄碼 278廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,IBP,2024-01-22,278廠,CHOICE,,,,,110.0,lb,裕林,
69,抄碼 245E廠 IBP CAB 肩胛肥牛,肩胛肥牛肉,萬祥,BEEF,抄,美國,IBP,2024-01-22,245E廠,CAB,,,,,61.0,lb,裕林,
70,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,BEEF,抄,美國,EXCEL,2024-01-22,86K廠,CHOICE,,,,,46.0,lb,裕林,
71,抄碼 86M 廠 EXCEL 肥牛(SHORT PLATE),SHORT PLATE肥牛,萬祥,BEEF,抄,美國,EXCEL,2024-01-22,86M廠,,,,,,19.6,lb,裕林,
72,抄碼 93 廠 EXCEL 肥牛(SHORT PLATE),SHORT PLATE肥牛,萬祥,BEEF,抄,加拿大,EXCEL,2024-01-22,93廠,,,,,,19.6,lb,裕林,
74,抄碼 GJ 牛冧,牛冧,萬祥,BEEF,抄,巴西,GJ,2024-01-22,,,,,,,19.6,lb,裕林,
75,抄碼 PLENA 牛冧,牛冧,萬祥,BEEF,抄,巴西,PLENA,2024-01-22,,,,,,,19.4,lb,裕林,
76,抄碼 QUALITY BEEF 牛冧,牛冧,萬祥,BEEF,抄,巴西,QUALITY BEEF,2024-01-22,,,,,,,19.4,lb,裕林,
77,抄碼 COTO 牛舌900G+,牛舌,萬祥,BEEF,抄,阿根廷,COTO,2024-01-22,+900G,,,,,,8.0,lb,裕林,
78,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,BEEF,抄,巴西,NEW BRAND,2024-01-22,+900G,,,,,,8.2,lb,裕林,
79,抄碼 GJ 牛舌900G+(捲),牛舌,萬祥,BEEF,抄,巴西,GJ,2024-01-22,+900G,,,,,,7.2,lb,裕林,
80,抄碼 RAMAX 西冷 3.5KG+,西冷,萬祥,BEEF,抄,巴西,RAMAX,2024-01-22,3.5K+,,,,,,21.8,lb,裕林,
81,抄碼 RAMAX 牛柳頭 1.5KG+,牛柳頭,萬祥,BEEF,抄,巴西,RAMAX,2024-01-22,1.5K+,,,,,,22.4,lb,裕林,
82,抄碼 PLENA 牛尾,牛尾,萬祥,BEEF,抄,巴西,PLENA,2024-01-22,,,,,,,16.0,lb,裕林,
83,抄碼 PLENA 牛肋條,牛肋條,萬祥,BEEF,抄,巴西,PLENA,2024-01-22,,,,,,,24.0,lb,裕林,
84,抄碼 PLENA 金錢展,金錢𦟌,萬祥,BEEF,抄,巴西,PLENA,2024-01-22,,,,,,,28.5,lb,裕林,
85,12KG PLENA 免治牛肉 500G/包,免治牛肉,萬祥,BEEF,12kg,巴西,PLENA,2024-01-22,500G,,,,,,8.0,lb,裕林,
87,10KG 584 豬肋排 餅裝,豬肋排,萬祥,PORK,10kg,荷蘭,P584,2024-01-22,餅裝,,,,,,12.0,lb,裕林,
88,抄碼 ALIBEM 豬梅肉,豬梅肉,萬祥,PORK,抄,巴西,ALIBEM,2024-01-22,,,,,,,10.2,lb,裕林,
89,15KG PIFPAF 帶皮挑骨中方豬腩(3塊/箱),中方豬腩,萬祥,PORK,15kg,巴西,PIF PAF,2024-01-22,帶皮,挑骨,,,,,13.6,lb,裕林,
90,25KG 豬背脂,豬背脂,萬祥,PORK,25kg,中國,,2024-01-22,,,,,,,7.2,lb,裕林,
91,25KG 優質梅肉,豬梅肉,萬祥,PORK,25kg,中國,,2024-01-22,,,,,,,32.0,kg,裕林,
92,25KG 王者至尊梅肉 (靚),豬梅肉,萬祥,PORK,25kg,中國,王者至尊,2024-01-22,,,,,,,55.0,kg,裕林,
93,25KG 精品豬肉青 200G+,豬肉青,萬祥,PORK,25kg,中國,,2024-01-22,+200G,,,,,,,kg,裕林,
