,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
51,fm 豬肚,豬肚,鸿泰,PORK,18k,,FRIMESA,132023,,,,,,,7.00p,lb,其士,
52,algera 豬肚,豬肚,鸿泰,PORK,20k,,,132023,,,,,,,6.50p,lb,其士,
53,sadia 豬爭,,鸿泰,,20k,,SADIA,132023,,,,,,,清,lb,光1,
54,fm豬手#727,豬手,鸿泰,PORK,20k,,FRIMESA,132023,,,,,,,5.60p,lb,其士,
55,fm 豬腳 727,,鸿泰,,20k,,FRIMESA,132023,,,,,,,3.50p,lb,其士,
56,sadia 豬腳,,鸿泰,,12k,,SADIA,132023,,,,,,,2.80p,lb,光1,
57,sadia 火肫 #104 (排庄),,鸿泰,,20k,,SADIA,132023,,,,,,,30.00p,lb,光1,
58,大f 火雞肫,,鸿泰,,30lb,,大F,132023,,,,,,,清,lb,光1,
59,sadia 雞子(1k x15),雞子,鸿泰,CHICKEN,15k,,SADIA,132023,,,,,,,24.00p,lb,光1,
60,熟 仙爪,,鸿泰,,16k,,,132023,,,,,,,14.50p,lb,光1,
61,super f 雞腳 50+ ( 大隻白淨 ),雞腳,鸿泰,CHICKEN,15k,,,132023,,,,,,,5.50p,lb,其士,
62,frialto 雞腳 50+,雞腳,鸿泰,CHICKEN,15k,,FRIALTO,132023,,,,,,,5.70p,lb,其士,
63,沙地亞 全亦 100+,,鸿泰,,15k,,SADIA,132023,,,,,,,7.30p,lb,光1,
64,auora 全亦100+,,鸿泰,,15k,,,132023,,,,,,,7.90p,lb,其士,
65,"mister frango 中亦 (35+上,大隻)",雞中翼,鸿泰,CHICKEN,15k,中國,MISTER FRANGO,132023,,,,,,,10.30p,lb,其士,
66,rico 中亦,雞中翼,鸿泰,CHICKEN,15k,中國,RICO,132023,,,,,,,11.50p,lb,沙2,
67,rico 中亦,雞中翼,鸿泰,CHICKEN,15k,中國,RICO,132023,,,,,,,11.50p,lb,其士,
68,frialto iqf 中亦,雞中翼,鸿泰,CHICKEN,15k,中國,FRIALTO,132023,IQF,,,,,,11.40p,lb,其士,
69, 中亦 50+ 留單 20.00p,雞中翼,鸿泰,CHICKEN,10k,中國,中佳,132023,,,,,,,20.20p,lb,其士,
70,大使亦尖,,鸿泰,,18k,,DIPLOMATA,132023,,,,,,,4.90p,lb,光1,
71,220/240雞比 (),,鸿泰,,15k,中國,中佳,132023,220/240,,,,,,7.90p,lb,其士,
72,240/260雞比 (),,鸿泰,,15k,中國,中佳,132023,240/260,,,,,,7.90p,lb,其士,
73,260/280雞比 () 留單 7.40p,,鸿泰,,15k,中國,中佳,132023,260/280,,,,,,7.50p,lb,其士,
74,280/300雞比 (),,鸿泰,,15k,中國,中佳,132023,+300G,280/300,,,,,7.60p,lb,其士,
75,300/320雞比 (),,鸿泰,,15k,中國,中佳,132023,+300G,300/320,,,,,清,lb,其士,
76,aurora 雞比,,鸿泰,,15k,,AURORA,132023,,,,,,,6.20p,lb,其士,
77,去皮大胸,,鸿泰,,12k,中國,中佳,132023,去皮,,,,,,15.20k,kg,其士,
78,有皮比肉,比肉,鸿泰,CHICKEN,12k,中國,中佳,132023,帶皮,,,,,,16.50k,kg,其士,
79,去皮比肉 留單18.50k,比肉,鸿泰,CHICKEN,12k,中國,中佳,132023,去皮,,,,,,18.70k,kg,其士,
80,iqf 小胸 ,雞柳,鸿泰,CHICKEN,10k,中國,中佳,132023,IQF,,,,,,16.20k,kg,其士,
81,iqf 小胸 名川,雞柳,鸿泰,CHICKEN,10k,,,132023,IQF,,,,,,16.20k,kg,其士,
82,iqf 小胸 民和,雞柳,鸿泰,CHICKEN,10k,,,132023,IQF,,,,,,15.70k,kg,其士,
83, 雞扒 300+ 留單 8.50p,雞扒,鸿泰,CHICKEN,15k,中國,中佳,132023,+300G,,,,,,8.60p,lb,其士,
84, 雞扒 250+ 留單 8.4p,雞扒,鸿泰,CHICKEN,15k,中國,中佳,132023,,,,,,,8.50p,lb,其士,
85,西冷 美麗華4+ 3條庄 留單25.00p,西冷,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,3條庄,,,,,,25.20p,lb,沙2,
86,西冷 美麗華4+ 3條庄 留單25.00p,西冷,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,3條庄,,,,,,25.20p,lb,其士,
87,frigon 西冷 留單24.40p,西冷,鸿泰,BEEF,抄,西班牙,FRIGON,2023-05-31,,,,,,,24.60p,lb,其士,
88,gj 西冷 留單24.00p,西冷,鸿泰,BEEF,抄,西班牙,GJ,2023-05-31,,,,,,,24.30p,lb,其士,
89,anglo 牛林,牛冧,鸿泰,BEEF,抄,,ANGLO,2023-05-31,,,,,,,清,lb,其士,
90,frigon 牛林 100件$20.5p/留$20.7p,牛冧,鸿泰,BEEF,抄,,FRIGON,2023-05-31,,,,,,,2 1 . 0 0 p,lb,其士,
91,美麗華 牛林,牛冧,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,18.50p,lb,其士,
92,美麗華 牛林,牛冧,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,18.50p,lb,光1,
93,gj 牛林,牛冧,鸿泰,BEEF,抄,,GJ,2023-05-31,,,,,,,18.50p,lb,沙2,
94,gj 牛林,牛冧,鸿泰,BEEF,抄,,GJ,2023-05-31,,,,,,,18.50p,lb,其士,
95,"美麗華 牛尾 1/6入倉,2/6可以出貨",牛尾,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,14.80p,lb,其士,
96,美麗華 牛柳 留單39.50p,牛柳,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,40.50p,lb,其士,
97,gj 牛柳頭 留單24.00p,牛柳頭,鸿泰,BEEF,抄,,GJ,2023-05-31,,,,,,,24.20p,lb,其士,
98,美麗華 牛柳頭,牛柳頭,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,25.40p,lb,沙2,
99,美麗華 牛柳頭,牛柳頭,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,25.40p,lb,其士,
100,masterboi牛柳頭,牛柳頭,鸿泰,BEEF,抄,,MASTERBOI,2023-05-31,,,,,,,23.00p,lb,其士,
101,mondelli 牛利900+直利,牛舌,鸿泰,BEEF,抄,,MONDELLI,2023-05-31,+900G,直,,,,,12.00p,lb,其士,
102,gj 牛利,牛舌,鸿泰,BEEF,抄,,GJ,2023-05-31,,,,,,,10.80p,lb,其士,
103,bustos 金肚,,鸿泰,,12k,,BUSTOS,2023-05-31,,,,,,,17.80p,lb,其士,
