,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
4040,10K 日本 鹿兒島 豬手 $6.50 /P ♦ 沙2 10K 比利時 4 x 2.5K 金荀仔 (14/18) $6.80 /P ♦ 沙2,,哲朗,,10kg,,,Invalid date format,2.5K+,,,,,,6.80,kg,['沙2'],
4041,10K 日本 鹿兒島 豬耳 $8.80 /P ▼ 沙2 10K 比利時 4 x 2.5K 金荀球 (10/18) $6.50 /P N 沙2,,哲朗,,10kg,,,Invalid date format,2.5K+,,,,,,6.50,kg,['沙2'],
4042,10K 日本 鹿兒島 豬尾 $13.50 /P ♦ 沙2,,哲朗,,10kg,,,Invalid date format,,,,,,,13.50,kg,['沙2'],
4043,10K 日本 長崎 豬軟骨 /P 海產,,哲朗,,10kg,,,Invalid date format,,,,,,,,kg,[],
4044,10K 日本 北海道 豬軟骨 $15.50 /P 沙2 40P 美國 野生牌 IQF 螺頭 L (3-5頭) $127 /P 威強,,哲朗,,10kg,美國,,Invalid date format,3/5,,,,,,15.50,kg,"['沙2', '威強']",
4045,40P 美國 野生牌 IQF 螺頭 XL (2-3) $148 /P 威強,,哲朗,,,美國,,Invalid date format,2/3,,,,,,,lb,['威強'],
4046,15K 中國 欣城 250G+ 雞扒 $8.60 /P 沙2 抄 巴西 Anglo 牛冧 $20.50 /P 沙2,牛冧,哲朗,BEEF,抄,巴西,ANGLO,Invalid date format,+200G,50G+,,,,,20.50,kg,['沙2'],
4047,15K 中國 欣城 300G+ 雞扒 $8.50 /P 沙2 抄 巴西 Anglo 西冷 /P,雞扒,哲朗,CHICKEN,抄,巴西,ANGLO,Invalid date format,+300G,,,,,,8.50,kg,['沙2'],
4048,12K 中國 欣城 有皮脾肉 $16.40 /K 沙2 抄 巴西 Anglo 牛肋條 /P,,哲朗,,抄,巴西,ANGLO,Invalid date format,帶皮,,,,,,16.40,kg,['沙2'],
4049,12K 中國 欣城 去皮脾肉 $18.50 /K 沙2 抄 巴西 Anglo 牛肋條 (零售裝) $28.50 /P ▲ 沙2,,哲朗,,抄,巴西,ANGLO,Invalid date format,去皮,,,,,,28.50,kg,['沙2'],
