,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
47,PERDUE 雞邊,,盈星,,,美國,,2022.01.06,,,,,,,3.8,kg,沙2,
48, 雞脾扒200G+P103,,盈星,,,巴西,SADIA,2022.01.06,+200G,,,,,,7.5,kg,沙2,
49, 雞全翼100G+,雞全翼,盈星,CHICKEN,,巴西,AURORA,2022.01.06,100G+,,,,,,7.3,kg,沙2,
50, 帶皮無骨雞腿肉,,盈星,,,巴西,SUPER FRANGO,2022.01.06,帶皮,,,,,,8.7,kg,其士,
51,PERDUE 雞全脾180-200G,,盈星,,,美國,,2022.01.06,+200G,,,,,,8.4,lb,沙2,
52,PERDUE 雞全脾220-240G,,盈星,,,美國,,2022.01.06,220/240,,,,,,8.0,lb,沙2,
53,PERDUE 雞全脾240-260G,,盈星,,,美國,,2022.01.06,240/260,,,,,,7.8,lb,沙2,
54,PERDUE 雞全脾260-280G,,盈星,,,美國,,2022.01.06,260/280,,,,,,7.6,lb,沙2,
55,CASE FARMS 珍寶雞脾(餅裝),,盈星,,,美國,CASEFARM,2022.01.06,餅裝,,,,,,4.9,lb,沙2,
56, 帶骨豬腩P915,豬腩帶骨,盈星,PORK,,巴西,ALIBEM,2022.01.06,帶骨,,,,,,11.6,kg,沙2,
57, 帶骨豬腩,豬腩帶骨,盈星,PORK,,巴西,FRIMESA,2022.01.06,帶骨,,,,,,11.6,kg,沙2,
57, 帶骨豬腩,豬腩帶骨,盈星,PORK,,巴西,FRIMESA,2022.01.06,帶骨,,,,,,11.6,kg,其士,
58, 豬耳片,,盈星,,,巴西,ALEGRA,2022.01.06,,,,,,,12.5,kg,沙2,
59, 豬耳片,,盈星,,,巴西,PIF PAF,2022.01.06,,,,,,,13.2,kg,沙2,
60, 豬前手P915/2146,,盈星,,,巴西,ALIBEM,2022.01.06,,,,,,,4.5,kg,沙2,
61, 豬前手,,盈星,,,巴西,FRIMESA,2022.01.06,,,,,,,4.5,kg,沙2,
62, 豬前手,,盈星,,,巴西,PIF PAF,2022.01.06,,,,,,,4.2,kg,沙2,
62, 豬前手,,盈星,,,巴西,PIF PAF,2022.01.06,,,,,,,4.2,kg,其士,
63, 豬後腳,,盈星,,,巴西,PIF PAF,2022.01.06,,,,,,,3.4,kg,沙2,
63, 豬後腳,,盈星,,,巴西,PIF PAF,2022.01.06,,,,,,,3.4,kg,其士,
64, 豬踭P129,豬踭,盈星,PORK,,巴西,OLYMEL,2022.01.06,,,,,,,6.0,kg,沙2,
65, 豬梅肉,豬梅肉,盈星,PORK,,巴西,ALEGRA,2022.01.06,,,,,,,11.0,kg,沙2,
66, 豬梅肉P915,豬梅肉,盈星,PORK,,巴西,ALIBEM,2022.01.06,,,,,,,10.2,kg,沙2,
67,波蘭M 豬梅肉PL201,豬梅肉,盈星,PORK,,波蘭,,2022.01.06,,,,,,,12.0,kg,沙2,
68, 豬梅肉,豬梅肉,盈星,PORK,,巴西,PIF PAF,2022.01.06,,,,,,,10.0,kg,沙2,
69, 豬三肉P915,豬肉眼,盈星,PORK,,巴西,ALIBEM,2022.01.06,,,,,,,10.4,kg,沙2,
70, 豬三肉P727,豬肉眼,盈星,PORK,,巴西,FRIMESA,2022.01.06,,,,,,,10.7,kg,沙2,
71, 豬三肉,豬肉眼,盈星,PORK,,巴西,PIF PAF,2022.01.06,,,,,,,11.3,kg,沙2,
72, 四肉,豬四肉,盈星,PORK,,巴西,ALEGRA,2022.01.06,,,,,,,8.0,kg,沙2,
73, 四肉,豬四肉,盈星,PORK,,巴西,ALIBEM,2022.01.06,,,,,,,8.5,kg,沙2,
74, 削骨豬扒P151,豬扒,盈星,PORK,,巴西,ALEGRA,2022.01.06,削骨,,,,,,8.2,kg,沙2,
75, 帶骨豬扒P151,豬扒,盈星,PORK,,巴西,ALEGRA,2022.01.06,帶骨,,,,,,8.0,kg,沙2,
76,P515 熟豬肚,豬肚,盈星,PORK,,荷蘭,,2022.01.06,,,,,,,6.5,kg,沙2,
77,AGRO 熟豬肚 P06-02,豬肚,盈星,PORK,,,,2022.01.06,,,,,,,6.5,kg,沙2,
78,AGRO 熟豬肚 P06-06,豬肚,盈星,PORK,,,,2022.01.06,,,,,,,6.7,kg,沙2,
78,AGRO 熟豬肚 P06-06,豬肚,盈星,PORK,,,,2022.01.06,,,,,,,6.7,kg,其士,
79, 熟豬肚,豬肚,盈星,PORK,,巴西,PIF PAF,2022.01.06,,,,,,,6.8,kg,沙2,
80, 豬仔骨,,盈星,,,巴西,PALMALI,2022.01.06,,,,,,,12.2,kg,沙2,
81, 豬仔骨60,,盈星,,,巴西,SEARA,2022.01.06,,,,,,,12.2,kg,沙2,
82, 豬軟骨,豬軟骨,盈星,PORK,,荷蘭,P109,2022.01.06,,,,,,,14.8,kg,沙2,
83, 豬軟骨,豬軟骨,盈星,PORK,,荷蘭,P584,2022.01.06,,,,,,,14.6,kg,沙2,
84, 豬肋排,豬肋排,盈星,PORK,,荷蘭,P584,2022.01.06,,,,,,,8.8,kg,沙2,
85, 豬柳P915,,盈星,,,巴西,ALIBEM,2022.01.06,,,,,,,9.8,kg,沙2,
86, 豬柳P151,,盈星,,,巴西,ALEGRA,2022.01.06,,,,,,,10.5,kg,沙2,
87, 豬脷P727,豬舌,盈星,PORK,,巴西,FRIMESA,2022.01.06,,,,,,,7.7,kg,沙2,
88, 豬脷,豬舌,盈星,PORK,,巴西,PIF PAF,2022.01.06,,,,,,,4.5,kg,沙2,
89, 豬脷,豬舌,盈星,PORK,,巴西,PIF PAF,2022.01.06,,,,,,,6.8,kg,沙2,
90,P515 生大腸,,盈星,,,荷蘭,,2022.01.06,,,,,,,8.0,kg,沙2,
91, 豬大腸P915/2146,豬大腸,盈星,PORK,,巴西,ALIBEM,2022.01.06,,,,,,,12.7,kg,沙2,
92, 熟豬大腸,豬大腸,盈星,PORK,,巴西,ALEGRA,2022.01.06,,,,,,,11.5,kg,沙2,
93, 熟豬大腸,豬大腸,盈星,PORK,,巴西,AURORA,2022.01.06,,,,,,,14.3,kg,沙2,
94, 熟豬大腸,豬大腸,盈星,PORK,,巴西,PIF PAF,2022.01.06,,,,,,,12.0,kg,沙2,
95, 豬大腸,豬大腸,盈星,PORK,,巴西,PALMALI,2022.01.06,,,,,,,12.0,kg,沙2,
96,FRISA 牛胸油,,盈星,,,巴西,,2022.01.25,,,,,,,30.0,kg,沙2,
