,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
46,巴西 肋排(分包)(NOTABLE),豬肋排,新兴,PORK,抄碼,巴西,,2024-01-02,,,,,,,12.2P,lb,光1,
47,荷蘭 肋排(餅裝)(WEST FLEISCH),豬肋排,新兴,PORK,10K,荷蘭,,2024-01-02,,,,,,,11.6P,lb,光1,
48,巴西 背肋排(),豬肋排,新兴,PORK,10K,巴西,AURORA,2024-01-02,,,,,,,12.4P,lb,光1,
49,越南 乳豬(A8),,新兴,,9K,,,2024-01-02,,,,,,,83.0K,kg,光1,
50,越南 乳豬(A8),,新兴,,11K,,,2024-01-02,,,,,,,74.0K,kg,光1,
51,越南 乳豬(A8),,新兴,,15K,,,2024-01-02,,,,,,,清,lb,光1,
52,越南 乳豬(A8),,新兴,,17K,,,2024-01-02,,,,,,,67.0K,kg,光1,
53,越南 乳豬(A8),,新兴,,21K,,,2024-01-02,,,,,,,62.0K,kg,光1,
54,越南 魚柳(約8成 藍帶)(300+)(IQF),,新兴,,10K,,,2024-01-02,+300G,,,,,,7.2P,lb,光1,
55,越南 魚柳(約7成 綠帶)(220-300)(IQF),,新兴,,10K,,,2024-01-02,+300G,20/30,,,,,6.6P,lb,光1,
56,越南 魚柳(約6成 黃帶)(300+)(IQF),,新兴,,10K,,,2024-01-02,+300G,,,,,,5.4P,lb,光1,
57,印度 牛腩(阿兰那),牛腩,新兴,BEEF,25K,阿根廷,,2024-03-04,,,,,,,9.0P,lb,光1,
58,巴西 牛腩(),牛腩,新兴,BEEF,抄碼,巴西,ANGLO,2024-03-04,,,,,,,13.2P,lb,光1,
59,巴西 牛腩(),牛腩,新兴,BEEF,抄碼,巴西,MINERVA,2024-03-04,,,,,,,13.5P,lb,光1,
60,巴西 牛冧(MASTERBOI),牛冧,新兴,BEEF,抄碼,巴西,BOI BRASIL,2024-03-04,,,,,,,18.2P,lb,光1,
61,巴西 牛冧(),牛冧,新兴,BEEF,抄碼,巴西,MINERVA,2024-03-04,,,,,,,18.7P,lb,光1,
62,巴西 西冷(NATURAFRIG),,新兴,,抄碼,巴西,,2024-03-04,,,,,,,21.0P,lb,光1,
63,巴西 西冷(VERDI),,新兴,,抄碼,巴西,,2024-03-04,,,,,,,21.5P,lb,光1,
64,巴西 西冷(GJ),,新兴,,抄碼,巴西,,2024-03-04,,,,,,,23.0P,lb,光1,
65,巴西 西冷(),,新兴,,抄碼,巴西,MINERVA,2024-03-04,,,,,,,23.0P,lb,光1,
66,巴西 牛柳(GJ)(3/4),,新兴,,抄碼,巴西,,2024-03-04,3/4,,,,,,37.0P,lb,光1,
67,美國 肥牛SP(),,新兴,,抄碼,美國,IBP,2024-03-04,,,,,,,22.5P,lb,光1,
68,英國 日式肥牛(KARUBI)(ABP),KARUBI 肥牛,新兴,BEEF,抄碼,英國,,2024-03-04,,,,,,,23.8P,lb,光1,
69,巴西 孖筋(VERDI),牛孖筋,新兴,BEEF,抄碼,巴西,,2024-03-04,,,,,,,12.5P,lb,光1,
70,鞍山 雞上髀肉(禾鳳鳴),雞上腿肉,新兴,CHICKEN,12K,,,2024-03-04,,,,,,,15.2K,kg,光1,
71,鞍山 冇皮雞上髀肉(禾鳳鳴),雞上腿肉,新兴,CHICKEN,12K,,,2024-03-04,,,,,,,清,lb,光1,
72,大連 雞扒(2500gUP)(吉農佳),雞扒,新兴,CHICKEN,15K,,,2024-03-04,,,,,,,7.5P,lb,光1,
73,鞍山 雞扒(250gUP)(禾鳳鳴),雞扒,新兴,CHICKEN,15K,,,2024-03-04,,,,,,,7.7P,lb,光1,
74,巴西 雞腳50g+(FRIATO),,新兴,,15K,巴西,FRIALTO,2024-03-04,50G+,,,,,,5.6P,lb,光1,
75,巴西 雞腳50g+(),,新兴,,15K,巴西,UNIAVES,2024-03-04,50G+,,,,,,5.9P,lb,光1,
76,阿根廷 全翼(AVEGUAY),,新兴,,15K,阿根廷,,2024-03-04,,,,,,,7.6P,lb,光1,
77,巴西 全翼100g+(),,新兴,,15K,巴西,AURORA,2024-03-04,100G+,,,,,,8.6P,lb,光1,
78,巴西 全翼120-140g(LEVIDA),,新兴,,15K,巴西,,2024-03-04,120/150,,,,,,8.8P,lb,光1,
79,法國 中翼(LDC),雞中翼,新兴,CHICKEN,10K,中國,,2024-03-04,,,,,,,11.0P,lb,光1,
80,巴西 中翼(BOM TODO),雞中翼,新兴,CHICKEN,15K,巴西,,2024-03-04,,,,,,,14.8P,lb,光1,
