Standard_warehouse,Common_names,,,,
嘉里_控貨倉1,嘉1,加1,嘉一,加一,
嘉里_控貨倉2,嘉2,加2,嘉二,加二,KB
沙田冷倉1倉,沙1,沙一,,,
沙田冷倉2倉,沙2,沙二,,,
其士冷藏倉庫,其士,,,,
光輝1倉,光1,光一,,,
光輝2倉,光2,光二,,,
威強凍倉,威強,,,,
亞洲生活冷倉,亞洲,,,,
嘉威倉,嘉威,,,,
百匯倉,百匯,BW,,,
萬集倉,萬集,,,,
萬安倉,萬安,,,,
送貨,送貨,,,,
裕林,,,,,
